sleeper_id,projection_url,player_data-player,player_data-opponent,player_data-company,player_data-team,player_data-player_id,player_data-updated_at,player_data-game_id,player_data-sport,player_data-season_type,player_data-season,player_data-week,player_data-last_modified,player_data-category,rush_yd,rush_td,rush_fd,rush_att,rush_2pt,rec_yd,rec_td,rec_fd,rec_5_9,rec_40p,rec_30_39,rec_20_29,rec_10_19,rec_0_4,rec,pts_std,pts_ppr,pts_half_ppr,gp,fum_lost,bonus_rec_rb,adp_std,adp_rookie,adp_ppr,adp_idp,adp_half_ppr,adp_dynasty_std,adp_dynasty_ppr,adp_dynasty_half_ppr,adp_dynasty_2qb,adp_dynasty,adp_2qb,bonus_rec_wr,bonus_rec_te,pass_yd,pass_td,pass_int,pass_fd,pass_cmp,pass_att,pass_2pt,cmp_pct,player_data-date
4034,https://api.sleeper.com/projections/nfl/player/4034?season_type=regular&season=2024,,NA,rotowire,SF,4034,1721634611347,season,nfl,regular,2024,NA,1721634611347,proj,1229,11,122.9,256,1,537,4,53.7,13.6,6.8,6.8,13.6,20.4,13.6,68,264.6,332.6,298.6,18,2,68,1.9,999,1,4.6,1.9,5.8,5.2,5.8,15.8,999,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6786,https://api.sleeper.com/projections/nfl/player/6786?season_type=regular&season=2024,,NA,rotowire,DAL,6786,1721634614730,season,nfl,regular,2024,NA,1721634614730,proj,74,1,7.4,12,NA,1455,8,145.5,23,11.5,11.5,23,34.5,23,115,204.9,319.9,262.4,18,1,NA,2.2,999,2.9,5.5,2.2,2.7,2.6,2.7,7.1,999,5.8,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3321,https://api.sleeper.com/projections/nfl/player/3321?season_type=regular&season=2024,,NA,rotowire,MIA,3321,1721634610900,season,nfl,regular,2024,NA,1721634610900,proj,36,NA,3.6,5,NA,1558,9,155.8,22.4,11.2,11.2,22.4,33.6,22.4,112,211.4,323.4,267.4,18,1,NA,3.2,999,3.5,11.6,3.2,10.7,10,10.7,23.4,999,8.1,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6794,https://api.sleeper.com/projections/nfl/player/6794?season_type=regular&season=2024,,NA,rotowire,MIN,6794,1721634614745,season,nfl,regular,2024,NA,1721634614745,proj,12,NA,1.2,2,NA,1427,7,142.7,21,10.5,10.5,21,31.5,21,105,183.9,288.9,236.4,18,1,NA,4.7,999,4.5,3.8,4.7,1.7,1.7,1.7,5.5,999,9.5,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7564,https://api.sleeper.com/projections/nfl/player/7564?season_type=regular&season=2024,,NA,rotowire,CIN,7564,1721634615797,season,nfl,regular,2024,NA,1721634615797,proj,16,NA,1.6,3,NA,1367,8,136.7,21,10.5,10.5,21,31.5,21,105,184.3,289.3,236.8,18,1,NA,5.8,999,5.9,7.7,5.8,3.5,3.2,3.5,8.5,999,10.7,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9509,https://api.sleeper.com/projections/nfl/player/9509?season_type=regular&season=2024,,NA,rotowire,ATL,9509,1721634617815,season,nfl,regular,2024,NA,1721634617815,proj,1098,8,109.8,245,NA,414,2,41.4,11,5.5,5.5,11,16.5,11,55,207.2,262.2,234.7,18,2,55,7,999,7.9,11.8,7,4.7,5.1,4.7,11.6,999,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7547,https://api.sleeper.com/projections/nfl/player/7547?season_type=regular&season=2024,,NA,rotowire,DET,7547,1721634615774,season,nfl,regular,2024,NA,1721634615774,proj,36,NA,3.6,6,NA,1285,7,128.5,22.2,11.1,11.1,22.2,33.3,22.2,111,172.1,283.1,227.6,18,1,NA,5.3,999,5.1,10.5,5.3,5.7,4.8,5.7,11.1,999,11,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8155,https://api.sleeper.com/projections/nfl/player/8155?season_type=regular&season=2024,,NA,rotowire,NYJ,8155,1721634616645,season,nfl,regular,2024,NA,1721634616645,proj,1212,8,121.2,267,1,404,2,40.4,10.8,5.4,5.4,10.8,16.2,10.8,54,219.6,273.6,246.6,18,2,54,8.8,999,8.6,14,8.8,8,8.4,8,16.9,999,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5859,https://api.sleeper.com/projections/nfl/player/5859?season_type=regular&season=2024,,NA,rotowire,PHI,5859,1721634613549,season,nfl,regular,2024,NA,1721634613549,proj,6,NA,0.6,1,NA,1351,8,135.1,18,9,9,18,27,18,90,181.7,271.7,226.7,18,1,NA,9.1,999,9.7,17.5,9.1,13.3,13.6,13.3,22.2,999,17.6,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9493,https://api.sleeper.com/projections/nfl/player/9493?season_type=regular&season=2024,,NA,rotowire,LAR,9493,1721634617785,season,nfl,regular,2024,NA,1721634617785,proj,42,NA,4.2,8,NA,1256,7,125.6,18.8,9.4,9.4,18.8,28.2,18.8,94,169.8,263.8,216.8,18,1,NA,11.1,999,10.4,17.4,11.1,11.4,11.3,11.4,20.4,999,16.6,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
