sleeper_id,projection_url,player_data-date,adp_2qb,adp_dynasty,adp_dynasty_2qb,adp_dynasty_half_ppr,adp_dynasty_ppr,adp_dynasty_std,adp_half_ppr,adp_idp,adp_ppr,adp_rookie,adp_std,bonus_rec_rb,fum_lost,gp,pts_half_ppr,pts_ppr,pts_std,rec,rec_0_4,rec_10_19,rec_20_29,rec_30_39,rec_40p,rec_5_9,rec_fd,rec_td,rec_yd,rush_2pt,rush_att,rush_fd,rush_td,rush_yd,bonus_rec_wr,bonus_rec_te,cmp_pct,pass_2pt,pass_att,pass_cmp,pass_fd,pass_int,pass_td,pass_yd,def_kr_td,pr_td,player_data-category,player_data-last_modified,player_data-week,player_data-sport,player_data-season_type,player_data-season,player_data-game_id,player_data-updated_at,player_data-player_id,player_data-team,player_data-company,player_data-opponent,player_data-player
4034,https://api.sleeper.com/projections/nfl/player/4034?season_type=regular&season=2024,NA,2.7,999,15.5,6.5,5.8,6.5,1.8,4.9,1.2,999,1.8,68,2,18,298.6,332.6,264.6,68,13.6,20.4,13.6,6.8,6.8,13.6,53.7,4,537,1,256,122.9,11,1229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1723449051883,NA,nfl,regular,2024,season,1723449051883,4034,SF,rotowire,NA,
6786,https://api.sleeper.com/projections/nfl/player/6786?season_type=regular&season=2024,NA,5.6,999,7.2,2,2.5,2,2.2,5.4,2.1,999,2.2,NA,1,18,262.4,319.9,204.9,115,23,34.5,23,11.5,11.5,23,145.5,8,1455,NA,12,7.4,1,74,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1723449056213,NA,nfl,regular,2024,season,1723449056213,6786,DAL,rotowire,NA,
3321,https://api.sleeper.com/projections/nfl/player/3321?season_type=regular&season=2024,NA,6.2,999,23,10.7,10.1,10.7,3.8,12.7,3.5,999,3.8,NA,1,18,267.4,323.4,211.4,112,22.4,33.6,22.4,11.2,11.2,22.4,155.8,9,1558,NA,5,3.6,NA,36,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1723449051330,NA,nfl,regular,2024,season,1723449051330,3321,MIA,rotowire,NA,
6794,https://api.sleeper.com/projections/nfl/player/6794?season_type=regular&season=2024,NA,8.3,999,5.2,1.3,1.2,1.3,4.2,3.4,4.9,999,4.2,NA,1,18,236.4,288.9,183.9,105,21,31.5,21,10.5,10.5,21,142.7,7,1427,NA,2,1.2,NA,12,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1723449056228,NA,nfl,regular,2024,season,1723449056228,6794,MIN,rotowire,NA,
7564,https://api.sleeper.com/projections/nfl/player/7564?season_type=regular&season=2024,NA,10.3,999,8.4,3.7,3,3.7,5.1,7.3,5.1,999,5.1,NA,1,18,236.8,289.3,184.3,105,21,31.5,21,10.5,10.5,21,136.7,8,1367,NA,3,1.6,NA,16,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1723449057492,NA,nfl,regular,2024,season,1723449057492,7564,CIN,rotowire,NA,
9509,https://api.sleeper.com/projections/nfl/player/9509?season_type=regular&season=2024,NA,13.4,999,12.7,4.7,6.6,4.7,6.3,11.6,7.7,999,6.3,56,2,18,236.7,264.7,208.7,56,11.2,16.8,11.2,5.6,5.6,11.2,41.8,2,418,NA,247,110.9,8,1109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1723449059957,NA,nfl,regular,2024,season,1723449059957,9509,ATL,rotowire,NA,
7547,https://api.sleeper.com/projections/nfl/player/7547?season_type=regular&season=2024,NA,11.5,999,10,5.1,4.5,5.1,7.7,8.1,6.7,999,7.7,NA,1,18,227.6,283.1,172.1,111,22.2,33.3,22.2,11.1,11.1,22.2,128.5,7,1285,NA,6,3.6,NA,36,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1723449057467,NA,nfl,regular,2024,season,1723449057467,7547,DET,rotowire,NA,
8155,https://api.sleeper.com/projections/nfl/player/8155?season_type=regular&season=2024,NA,12,999,16.7,8.7,8.8,8.7,8.6,14.3,8.4,999,8.6,55,2,18,248.7,276.2,221.2,55,11,16.5,11,5.5,5.5,11,40.8,2,408,1,270,122.4,8,1224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1723449058494,NA,nfl,regular,2024,season,1723449058494,8155,NYJ,rotowire,NA,
5859,https://api.sleeper.com/projections/nfl/player/5859?season_type=regular&season=2024,NA,17,999,22.5,13,13.8,13,8.3,17.6,8.7,999,8.3,NA,1,18,223,267,179,88,17.6,26.4,17.6,8.8,8.8,17.6,132.4,8,1324,NA,1,0.6,NA,6,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1723449054684,NA,nfl,regular,2024,season,1723449054684,5859,PHI,rotowire,NA,
9493,https://api.sleeper.com/projections/nfl/player/9493?season_type=regular&season=2024,NA,16.2,999,20.8,11.9,11.3,11.9,11.6,17.9,10.4,999,11.6,NA,1,18,213.2,259.2,167.2,92,18.4,27.6,18.4,9.2,9.2,18.4,123.1,7,1231,NA,8,4.1,NA,41,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1723449059928,NA,nfl,regular,2024,season,1723449059928,9493,LAR,rotowire,NA,
