sleeper_id,projection_url,player_data-date,adp_2qb,adp_dynasty,adp_dynasty_2qb,adp_dynasty_half_ppr,adp_dynasty_ppr,adp_dynasty_std,adp_half_ppr,adp_idp,adp_ppr,adp_rookie,adp_std,bonus_rec_rb,fum_lost,gp,pts_half_ppr,pts_ppr,pts_std,rec,rec_0_4,rec_10_19,rec_20_29,rec_30_39,rec_40p,rec_5_9,rec_fd,rec_td,rec_yd,rush_2pt,rush_att,rush_fd,rush_td,rush_yd,bonus_rec_wr,bonus_rec_te,cmp_pct,pass_2pt,pass_att,pass_cmp,pass_fd,pass_int,pass_td,pass_yd,def_kr_td,player_data-category,player_data-last_modified,player_data-week,player_data-season,player_data-season_type,player_data-sport,player_data-player_id,player_data-game_id,player_data-updated_at,player_data-team,player_data-company,player_data-opponent,player_data-player
4034,https://api.sleeper.com/projections/nfl/player/4034?season_type=regular&season=2024,NA,2.8,999,15.4,6.5,4.8,6.5,1.5,4.8,1.2,999,1.5,55,2,18,250.4,277.9,222.9,55,11,16.5,11,5.5,5.5,11,42.3,3,423,1,230,110.6,9,1106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1733217640950,NA,2024,regular,nfl,4034,season,1733217640950,SF,rotowire,NA,
6786,https://api.sleeper.com/projections/nfl/player/6786?season_type=regular&season=2024,NA,5.1,999,7.3,2.4,2.6,2.4,3.9,5.9,3.1,999,3.9,NA,1,18,230.2,285.7,174.7,111,22.2,33.3,22.2,11.1,11.1,22.2,120.5,7,1205,NA,15,8.2,1,82,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1733217647494,NA,2024,regular,nfl,6786,season,1733217647494,DAL,rotowire,NA,
3321,https://api.sleeper.com/projections/nfl/player/3321?season_type=regular&season=2024,NA,6.1,999,22,10.2,9,10.2,2.1,12.3,2.7,999,2.1,NA,1,18,258.2,312.2,204.2,108,21.6,32.4,21.6,10.8,10.8,21.6,148.6,9,1486,NA,5,3.6,NA,36,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1733217640090,NA,2024,regular,nfl,3321,season,1733217640090,MIA,rotowire,NA,
6794,https://api.sleeper.com/projections/nfl/player/6794?season_type=regular&season=2024,NA,9.7,999,5.8,1.7,1.6,1.7,4.3,3.4,4.9,999,4.3,NA,1,18,235.9,281.9,189.9,92,18.4,27.6,18.4,9.2,9.2,18.4,142.7,8,1427,NA,2,1.2,NA,12,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1733217647512,NA,2024,regular,nfl,6794,season,1733217647512,MIN,rotowire,NA,
7564,https://api.sleeper.com/projections/nfl/player/7564?season_type=regular&season=2024,NA,10.5,999,8,3.9,3.6,3.9,5.6,7.8,5.6,999,5.6,NA,1,18,255.8,308.3,203.3,105,21,31.5,21,10.5,10.5,21,143.7,10,1437,NA,3,1.6,NA,16,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1733217649606,NA,2024,regular,nfl,7564,season,1733217649606,CIN,rotowire,NA,
9509,https://api.sleeper.com/projections/nfl/player/9509?season_type=regular&season=2024,NA,13.5,999,12.5,4.6,6.7,4.6,6.1,10.8,6.5,999,6.1,56,2,18,239.8,267.8,211.8,56,11.2,16.8,11.2,5.6,5.6,11.2,41.8,2,418,NA,247,114,8,1140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1733217653394,NA,2024,regular,nfl,9509,season,1733217653394,ATL,rotowire,NA,
7547,https://api.sleeper.com/projections/nfl/player/7547?season_type=regular&season=2024,NA,11.1,999,10.2,5.9,5.2,5.9,6.2,9.5,6.8,999,6.2,NA,1,18,212.5,265,160,105,21,31.5,21,10.5,10.5,21,116.6,7,1166,NA,6,3.4,NA,34,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1733217649562,NA,2024,regular,nfl,7547,season,1733217649562,DET,rotowire,NA,
8155,https://api.sleeper.com/projections/nfl/player/8155?season_type=regular&season=2024,NA,12.3,999,16,7.3,7.2,7.3,8.6,13.6,8.8,999,8.6,55,2,18,256.7,284.2,229.2,55,11,16.5,11,5.5,5.5,11,40.8,2,408,1,270,124.4,9,1244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1733217651271,NA,2024,regular,nfl,8155,season,1733217651271,NYJ,rotowire,NA,
5859,https://api.sleeper.com/projections/nfl/player/5859?season_type=regular&season=2024,NA,15.2,999,23.8,13.9,13.5,13.9,9.1,15.4,9.1,999,9.1,NA,1,18,223,267,179,88,17.6,26.4,17.6,8.8,8.8,17.6,132.4,8,1324,NA,1,0.6,NA,6,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1733217645167,NA,2024,regular,nfl,5859,season,1733217645167,PHI,rotowire,NA,
9493,https://api.sleeper.com/projections/nfl/player/9493?season_type=regular&season=2024,NA,17.7,999,20.2,11.3,11.2,11.3,15.9,17.2,17.3,999,15.9,NA,1,18,207.9,252.4,163.4,89,17.8,26.7,17.8,8.9,8.9,17.8,119.4,7,1194,NA,8,4,NA,40,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1733217653345,NA,2024,regular,nfl,9493,season,1733217653345,LAR,rotowire,NA,
